text_id,timestamp,user_input,predicted_emotion,crisis_level,confidence_score
TXT-001,2026-06-01 09:15:22,I feel extremely anxious and panicked about this final semester exam.,Fear,High,0.94
TXT-002,2026-06-01 10:02:11,This app is very helpful for me to organize my schedule neatly. Thank you!,Joy,Low,0.89
TXT-003,2026-06-01 11:45:00,"Please, I feel so overwhelmed and don't know what else to do right now.",Sadness,High,0.97
TXT-004,2026-06-02 14:20:05,"The system keeps crashing, I'm so frustrated while chasing a deadline!",Anger,Medium,0.85
TXT-005,2026-06-02 16:33:40,"Overall, the model performance is quite stable and consistent.",Neutral,Low,0.78
TXT-006,2026-06-03 08:12:19,"I feel lost, like there's no way out of this difficult situation.",Sadness,High,0.95
TXT-007,2026-06-03 13:05:55,Wow amazing! The prediction is very accurate and fast.,Joy,Low,0.91
TXT-008,2026-06-03 18:29:43,I am incredibly nervous ahead of the comprehensive exam defense next week.,Fear,Medium,0.83
TXT-009,2026-06-03 19:46:17,I really hate it when group members disappear without a trace right before a deadline.,Anger,High,0.88
TXT-010,2026-06-03 23:23:03,I am afraid of disappointing my parents because my GPA dropped this semester.,Fear,Medium,0.96
TXT-011,2026-06-04 03:22:20,"Deeply disappointed with the results of this experiment, I feel like giving up.",Sadness,Medium,0.98
TXT-012,2026-06-04 06:17:16,Crying alone in my room because I feel crushed by the expectations around me.,Sadness,High,0.93
TXT-013,2026-06-04 07:44:46,Getting a sudden revision request with only a few hours deadline is completely inhumane!,Anger,High,0.93
TXT-014,2026-06-04 11:15:25,The technical coordination meeting will start tomorrow morning at 09:00 AM.,Neutral,Low,0.75
TXT-015,2026-06-04 15:46:16,Terrified of making the wrong decision for the continuation of this hybrid research.,Fear,Low,0.97
TXT-016,2026-06-04 17:34:11,Getting a sudden revision request with only a few hours deadline is completely inhumane!,Anger,High,0.91
TXT-017,2026-06-04 20:30:16,Wow amazing! The prediction is very accurate and fast.,Joy,Low,0.85
TXT-018,2026-06-04 22:50:57,It makes me furious to see someone else take credit for my hard work.,Anger,High,0.97
TXT-019,2026-06-05 02:40:48,I already told you not to change the .env configuration file without prior coordination!,Anger,Medium,0.92
TXT-020,2026-06-05 06:56:56,The IndoBERT model acts as a contextual feature extractor for the input text.,Neutral,Low,0.76
TXT-021,2026-06-05 09:47:04,I really hate it when group members disappear without a trace right before a deadline.,Anger,High,0.96
TXT-022,2026-06-05 11:43:03,Worried about losing my research data because the external hard drive is unreadable.,Fear,Medium,0.9
TXT-023,2026-06-05 16:16:37,The technical coordination meeting will start tomorrow morning at 09:00 AM.,Neutral,Low,0.72
TXT-024,2026-06-05 20:41:01,"Alhamdulillah, my research paper is officially accepted and In Press at IJCCS UGM!",Joy,Low,0.83
TXT-025,2026-06-06 00:36:15,I've been feeling directionless and unmotivated to do anything for a week now.,Sadness,High,0.93
TXT-026,2026-06-06 01:46:14,Sad to see months of hard work rejected directly without a clear review.,Sadness,Medium,0.97
TXT-027,2026-06-06 03:00:30,"Suddenly my heart is racing so fast, feeling terrified for absolutely no reason.",Fear,High,0.88
TXT-028,2026-06-06 06:47:04,So happy because the accuracy of the IndoBERT + Random Forest model jumped sharply!,Joy,Low,0.87
TXT-029,2026-06-06 11:21:44,"Lost the motivation to write, can only stare at a blank screen for hours.",Sadness,Medium,0.96
TXT-030,2026-06-06 13:42:04,Extremely annoyed with the unstable campus internet connection today.,Anger,Low,0.89
TXT-031,2026-06-06 15:19:47,I am incredibly nervous ahead of the comprehensive exam defense next week.,Fear,Medium,0.88
TXT-032,2026-06-06 16:44:03,Completely panicking because the server suddenly went down 5 minutes before the presentation.,Fear,High,0.84
TXT-033,2026-06-06 21:05:15,It feels so unfair that the grading criteria were changed unilaterally at the end of the semester.,Anger,Medium,0.83
TXT-034,2026-06-07 00:26:07,Getting positive feedback from users restores my motivation completely.,Joy,Low,0.96
TXT-035,2026-06-07 03:03:07,Sad because a minor misunderstanding ruined a long-standing friendship.,Sadness,Medium,0.85
